"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Days_10N","Min_Monthly_Nitrate","Max_Monthly_Nitrate","Mean_Monthly_Nitrate","Mean_Monthly_Upwelling_Nitrate","Mean_Monthly_Temp","Max_Monthly_Anomaly_Upwelling_Temp","wh_95prc","wh_max","log_den_STRPURAD","log_Days_16C","log_UBR_Mean","log_UBR_Max","log_Mean_Monthly_NPP_Upwelling","Mean_Monthly_NPP","Max_Monthly_NPP_Upwelling","cumsum.wi"
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Mean_Monthly_Temp+wh_95prc+wh_max","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Mean_Monthly_Temp+wh_95prc+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_Temp, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1367.8191427545,1555.29104669488,0.45603,NA,39.01,0,45.748,53.84,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0.999
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Mean+Max_Monthly_Nitrate+wh_95prc+wh_max","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Mean+Max_Monthly_Nitrate+wh_95prc+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1367.84546160979,1546.5210005352,0.3894,NA,36.31,0,45.774,45.07,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0.999
"log_den_STRPURAD+Mean_Monthly_NPP+Mean_Monthly_Upwelling_Nitrate+wh_max","log_den_STRPURAD+Mean_Monthly_NPP+Mean_Monthly_Upwelling_Nitrate+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(Mean_Monthly_Upwelling_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1367.85240115471,1532.12940826827,0.45945,NA,33.15,0,45.781,30.678,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0.999
"log_UBR_Max+Max_Monthly_NPP_Upwelling+Mean_Monthly_Nitrate+wh_95prc+wh_max","log_UBR_Max+Max_Monthly_NPP_Upwelling+Mean_Monthly_Nitrate+wh_95prc+wh_max","s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Mean_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1367.89868546528,1536.92147819713,0.4563,NA,36.15,0,45.828,35.47,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0.999
"Days_10N+log_Days_16C+log_den_STRPURAD+Max_Monthly_NPP_Upwelling+Min_Monthly_Nitrate+wh_max","Days_10N+log_Days_16C+log_den_STRPURAD+Max_Monthly_NPP_Upwelling+Min_Monthly_Nitrate+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1367.89916498966,1535.56564546804,0.46101,NA,35.66,0,45.828,34.114,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0.999
"Days_10N+log_Days_16C+log_UBR_Mean+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+wh_95prc","Days_10N+log_Days_16C+log_UBR_Mean+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+wh_95prc","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1367.9185527987,1543.93519565426,0.40157,NA,36.34,0,45.847,42.484,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0.999
"Days_10N+log_Days_16C+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+wh_95prc","Days_10N+log_Days_16C+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+wh_95prc","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1367.93166736817,1542.5993403971,0.38878,NA,35.93,0,45.861,41.148,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0.999
"Days_10N+log_Days_16C+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Mean+wh_max","Days_10N+log_Days_16C+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Mean+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1367.95655754363,1546.21690323959,0.45087,NA,36.31,0,45.885,44.766,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0.999
"Days_10N+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+Mean_Monthly_NPP+wh_max","Days_10N+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+Mean_Monthly_NPP+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1367.9596248679,1548.210876371,0.41548,NA,36.82,0,45.889,46.76,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.999
"log_Days_16C+log_UBR_Mean+Max_Monthly_Nitrate+wh_95prc+wh_max","log_Days_16C+log_UBR_Mean+Max_Monthly_Nitrate+wh_95prc+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1367.96492798302,1538.23501551636,0.38048,NA,34.25,0,45.894,36.784,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0.999
"log_Days_16C+log_den_STRPURAD+Max_Monthly_NPP_Upwelling+wh_max","log_Days_16C+log_den_STRPURAD+Max_Monthly_NPP_Upwelling+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1368.11669826194,1537.17126319963,0.43527,NA,35.51,0,46.046,35.72,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0.999
"log_den_STRPURAD+Mean_Monthly_NPP+wh_max","log_den_STRPURAD+Mean_Monthly_NPP+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1368.11957111413,1525.45188749872,0.43688,NA,33.19,0,46.048,24.001,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0.999
"log_Days_16C+log_den_STRPURAD+Mean_Monthly_Nitrate+wh_max","log_Days_16C+log_den_STRPURAD+Mean_Monthly_Nitrate+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(Mean_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1368.12019662222,1534.94041004208,0.45528,NA,32.88,0,46.049,33.489,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0.999
"Days_10N+log_Days_16C+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+Mean_Monthly_NPP+wh_95prc","Days_10N+log_Days_16C+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+Mean_Monthly_NPP+wh_95prc","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1368.12946509077,1552.3219716222,0.33586,NA,37.6,0,46.058,50.871,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0.999
"Days_10N+log_Days_16C+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Mean+Max_Monthly_Anomaly_Upwelling_Temp","Days_10N+log_Days_16C+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Mean+Max_Monthly_Anomaly_Upwelling_Temp","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1368.14877764103,1534.56475623462,0.33324,NA,34.65,0,46.078,33.113,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0.999
"Days_10N+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+Mean_Monthly_Nitrate+wh_max","Days_10N+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+Mean_Monthly_Nitrate+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Mean_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1368.16516370805,1527.02438450958,0.46219,NA,32.79,0,46.094,25.573,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0.999
"log_Days_16C+log_den_STRPURAD+log_UBR_Mean+Max_Monthly_NPP_Upwelling+Mean_Monthly_Nitrate+wh_max","log_Days_16C+log_den_STRPURAD+log_UBR_Mean+Max_Monthly_NPP_Upwelling+Mean_Monthly_Nitrate+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Mean_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1368.22048771401,1539.21467791809,0.45611,NA,33.99,0,46.149,37.763,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0.999
"Days_10N+log_Days_16C+Max_Monthly_Nitrate+Mean_Monthly_NPP+wh_95prc","Days_10N+log_Days_16C+Max_Monthly_Nitrate+Mean_Monthly_NPP+wh_95prc","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1368.2264245177,1543.97678574205,0.39628,NA,35.78,0,46.155,42.525,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0.999
"log_Days_16C+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Mean+Mean_Monthly_Nitrate+wh_max","log_Days_16C+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Mean+Mean_Monthly_Nitrate+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Mean_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1368.22769201002,1539.21725351941,0.45625,NA,34.02,0,46.157,37.766,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0.999
"Days_10N+log_den_STRPURAD+Mean_Monthly_NPP+Min_Monthly_Nitrate+wh_max","Days_10N+log_den_STRPURAD+Mean_Monthly_NPP+Min_Monthly_Nitrate+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1368.24590404881,1538.09781809984,0.45848,NA,35.27,0,46.175,36.647,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0.999
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+wh_95prc","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+wh_95prc","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1368.24611764306,1552.58496051978,0.34685,NA,37.75,0,46.175,51.134,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0.999
"log_Days_16C+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+wh_max","log_Days_16C+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1368.29354318002,1537.22563265931,0.43517,NA,35.51,0,46.222,35.774,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0.999
"log_UBR_Max+Mean_Monthly_Nitrate+wh_95prc+wh_max","log_UBR_Max+Mean_Monthly_Nitrate+wh_95prc+wh_max","s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1368.29525717371,1531.24406651966,0.45289,NA,34.71,0,46.224,29.793,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.999
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Mean+Max_Monthly_Nitrate+wh_max","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Mean+Max_Monthly_Nitrate+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1368.29915290043,1533.0893355677,0.37806,NA,33.84,0,46.228,31.638,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0.999
"log_Days_16C+Max_Monthly_Nitrate+wh_95prc+wh_max","log_Days_16C+Max_Monthly_Nitrate+wh_95prc+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1368.33209201375,1537.36390377842,0.37095,NA,33.71,0,46.261,35.913,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0.999
"log_den_STRPURAD+log_UBR_Mean+Mean_Monthly_NPP+Min_Monthly_Nitrate+wh_max","log_den_STRPURAD+log_UBR_Mean+Mean_Monthly_NPP+Min_Monthly_Nitrate+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1368.36330513656,1528.79904810968,0.45108,NA,33.31,0,46.292,27.348,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0.999
"Days_10N+log_Days_16C+log_den_STRPURAD+log_UBR_Mean+Max_Monthly_NPP_Upwelling+wh_max","Days_10N+log_Days_16C+log_den_STRPURAD+log_UBR_Mean+Max_Monthly_NPP_Upwelling+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1368.37005860596,1548.56417326727,0.45051,NA,36.6,0,46.299,47.113,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0.999
"log_Days_16C+log_UBR_Max+Mean_Monthly_NPP+Min_Monthly_Nitrate+wh_95prc+wh_max","log_Days_16C+log_UBR_Max+Mean_Monthly_NPP+Min_Monthly_Nitrate+wh_95prc+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1368.39341425267,1556.62455421542,0.44835,NA,39.35,0,46.322,55.173,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0.999
"log_Days_16C+log_UBR_Max+Max_Monthly_NPP_Upwelling+Mean_Monthly_Temp+wh_95prc+wh_max","log_Days_16C+log_UBR_Max+Max_Monthly_NPP_Upwelling+Mean_Monthly_Temp+wh_95prc+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Mean_Monthly_Temp, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1368.41076988269,1555.90308239901,0.45554,NA,38.98,0,46.34,54.452,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0.999
"log_Days_16C+log_UBR_Max+Max_Monthly_NPP_Upwelling+Min_Monthly_Nitrate+wh_95prc+wh_max","log_Days_16C+log_UBR_Max+Max_Monthly_NPP_Upwelling+Min_Monthly_Nitrate+wh_95prc+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1368.45489536307,1558.55325984915,0.44969,NA,39.84,0,46.384,57.102,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0.999
"Days_10N+log_Days_16C+log_den_STRPURAD+log_UBR_Mean+Mean_Monthly_NPP+wh_max","Days_10N+log_Days_16C+log_den_STRPURAD+log_UBR_Mean+Mean_Monthly_NPP+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1368.48630176064,1549.18694248717,0.44866,NA,36.56,0,46.415,47.736,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0.999
"Days_10N+log_Days_16C+log_den_STRPURAD+log_UBR_Mean+Mean_Monthly_Nitrate+wh_max","Days_10N+log_Days_16C+log_den_STRPURAD+log_UBR_Mean+Mean_Monthly_Nitrate+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Mean_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1368.49454550086,1533.28194490737,0.46529,NA,33.19,0,46.423,31.831,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0.999
"log_Days_16C+log_UBR_Mean+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+wh_95prc+wh_max","log_Days_16C+log_UBR_Mean+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+wh_95prc+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1368.51324676763,1546.65629165898,0.3825,NA,36.05,0,46.442,45.205,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0.999
"log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+wh_max","log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1368.53132534006,1520.81880853858,0.43688,NA,32.74,0,46.46,19.368,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0.999
"Days_10N+log_UBR_Mean+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+wh_95prc+wh_max","Days_10N+log_UBR_Mean+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+wh_95prc+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1368.55117159957,1551.17846799971,0.44509,NA,37.82,0,46.48,49.727,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0.999
"Days_10N+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Mean_Monthly_Nitrate+wh_95prc+wh_max","Days_10N+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Mean_Monthly_Nitrate+wh_95prc+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1368.55985644512,1547.35888942956,0.46023,NA,37.02,0,46.489,45.908,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0.999
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+Max_Monthly_Nitrate+wh_95prc+wh_max","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+Max_Monthly_Nitrate+wh_95prc+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1368.6083453595,1545.94907301611,0.38226,NA,35.76,0,46.537,44.498,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0.999
